variant,winner_model,feature,importance_mean_nonneg,ablation_delta_auc_mean,importance_score,ablation_score,stability_score,FRS,contradiction_abs,contradiction_signed,feature_class,contradiction_class,complete_case_flag
FULL,LR_L1,tnfalfa_pg_ml,0.0038095238095238,,0.0197271083347032,,0.8400203674787142,0.4298737379067087,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,wbc_przyjecie,0.0001904761904761,,0.0009863554167346,,0.5618071610130573,0.2813967582148959,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,hdl,0.0,,0.0,,0.4875336762368925,0.2437668381184462,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,ace_i,0.0,,0.0,,0.4862354121992099,0.243117706099605,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,czy_pali,0.0,,0.0,,0.4862354121992099,0.243117706099605,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,gfr_min,0.0,,0.0,,0.4862354121992099,0.243117706099605,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,hb_przyjecie,0.0,,0.0,,0.4862354121992099,0.243117706099605,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,hba1c,0.0,,0.0,,0.4862354121992099,0.243117706099605,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,ht_przyjecie,0.0,,0.0,,0.4862354121992099,0.243117706099605,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,ile_lat_pali,0.0,,0.0,,0.4862354121992099,0.243117706099605,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,krwawienie,0.0,,0.0,,0.4862354121992099,0.243117706099605,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,leukocytoza_przyjecie_10000,0.0,,0.0,,0.4862354121992099,0.243117706099605,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,mpv_przyjecie,0.0,,0.0,,0.4862354121992099,0.243117706099605,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,nabyta_wada_serca,0.0,,0.0,,0.4862354121992099,0.243117706099605,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,noac,0.0,,0.0,,0.4862354121992099,0.243117706099605,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,obwod_bioder,0.0,,0.0,,0.4862354121992099,0.243117706099605,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,otylosc_bmi_30,0.0,,0.0,,0.4862354121992099,0.243117706099605,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,p_lcr_przyjecie,0.0,,0.0,,0.4862354121992099,0.243117706099605,,,UNRESOLVED,UNRESOLVED,0
